Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%,year
352,Damian Lillard,2015-16,25,POR,NBA,9.2,75,75,35.7,8.2,19.7,5.2,11.5,3.1,8.1,5.5,6.2,0.6,3.4,4.0,6.8,0.9,0.4,3.2,2.2,25.1,.419,.450,.375,.497,.892,.560,2016
410,Klay Thompson,2015-16,25,GSW,NBA,8.0,80,80,33.3,8.1,17.3,4.7,9.2,3.5,8.1,2.4,2.8,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,.470,.510,.425,.569,.873,.597,2016
427,Andre Drummond,2015-16,22,DET,NBA,7.4,81,81,32.9,6.8,13.1,6.8,13.0,0.0,0.1,2.6,7.2,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3.0,16.2,.521,.522,.333,.522,.355,.499,2016
456,DeMarcus Cousins,2015-16,25,SAC,NBA,5.7,65,65,34.6,9.2,20.5,8.2,17.3,1.1,3.2,7.3,10.2,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,.451,.473,.333,.477,.718,.538,2016
62,James Harden,2016-17,27,HOU,NBA,15.0,81,81,36.4,8.3,18.9,5.1,9.6,3.2,9.3,9.2,10.9,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,.440,.530,.347,.525,.847,.613,2017
82,Rudy Gobert,2016-17,24,UTA,NBA,14.3,81,81,33.9,5.1,7.7,5.1,7.7,0.0,0.0,3.8,5.9,3.9,8.9,12.8,1.2,0.6,2.6,1.8,3.0,14.0,.661,.662,.000,.661,.653,.681,2017
99,Jimmy Butler,2016-17,27,CHI,NBA,13.8,76,75,37.0,7.5,16.5,6.3,13.2,1.2,3.3,7.7,8.9,1.7,4.5,6.2,5.5,1.9,0.4,2.1,1.5,23.9,.455,.477,.367,.492,.865,.586,2017
109,Kawhi Leonard,2016-17,25,SAS,NBA,13.6,74,74,33.4,8.6,17.7,6.6,12.5,2.0,5.2,6.3,7.2,1.1,4.7,5.8,3.5,1.8,0.7,2.1,1.6,25.5,.485,.529,.380,.541,.880,.610,2017
129,Russell Westbrook,2016-17,28,OKC,NBA,13.1,81,81,34.6,10.2,24.0,7.7,16.8,2.5,7.2,8.8,10.4,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,.425,.459,.343,.476,.845,.554,2017
140,LeBron James,2016-17,32,CLE,NBA,12.9,74,74,37.8,9.9,18.2,8.3,13.5,1.7,4.6,4.8,7.2,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,.548,.611,.363,.594,.674,.619,2017
160,Stephen Curry,2016-17,28,GSW,NBA,12.6,79,79,33.4,8.5,18.3,4.4,8.3,4.1,10.0,4.1,4.6,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3,.468,.537,.411,.580,.898,.624,2017
167,Isaiah Thomas,2016-17,27,BOS,NBA,12.5,76,76,33.8,9.0,19.4,5.8,10.9,3.2,8.5,7.8,8.5,0.6,2.1,2.7,5.9,0.9,0.2,2.8,2.2,28.9,.463,.528,.379,.546,.909,.625,2017
168,Giannis Antetokounmpo,2016-17,22,MIL,NBA,12.4,80,80,35.6,8.2,15.7,7.6,13.5,0.6,2.3,5.9,7.7,1.8,7.0,8.8,5.4,1.6,1.9,2.9,3.1,22.9,.521,.563,.272,.541,.770,.599,2017
186,Kevin Durant,2016-17,28,GSW,NBA,12.0,62,62,33.4,8.9,16.5,7.0,11.5,1.9,5.0,5.4,6.2,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,.537,.608,.375,.594,.875,.651,2017
195,DeAndre Jordan,2016-17,28,LAC,NBA,11.8,81,81,31.7,5.1,7.1,5.1,7.1,0.0,0.0,2.5,5.2,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,.714,.717,.000,.714,.482,.673,2017
238,Anthony Davis,2016-17,23,NOP,NBA,11.0,75,75,36.1,10.3,20.3,9.7,18.6,0.5,1.8,6.9,8.6,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,.505,.524,.299,.518,.802,.580,2017
360,DeMar DeRozan,2016-17,27,TOR,NBA,9.0,74,74,35.4,9.7,20.9,9.3,19.2,0.4,1.7,7.4,8.7,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,.467,.484,.266,.477,.842,.552,2017
374,John Wall,2016-17,26,WAS,NBA,8.8,78,78,36.4,8.3,18.4,7.2,14.9,1.1,3.5,5.4,6.8,0.8,3.4,4.2,10.7,2.0,0.6,4.1,1.9,23.1,.451,.480,.327,.482,.801,.541,2017
396,Draymond Green,2016-17,26,GSW,NBA,8.2,76,76,32.5,3.6,8.6,2.5,5.1,1.1,3.5,2.0,2.8,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,.418,.494,.308,.481,.709,.522,2017
51,James Harden,2017-18,28,HOU,NBA,15.4,72,72,35.4,9.0,20.1,5.4,10.1,3.7,10.0,8.7,10.1,0.6,4.8,5.4,8.8,1.8,0.7,4.4,2.3,30.4,.449,.531,.367,.541,.858,.619,2018
87,LeBron James,2017-18,33,CLE,NBA,14.0,82,82,36.9,10.5,19.3,8.6,14.3,1.8,5.0,4.7,6.5,1.2,7.5,8.6,9.1,1.4,0.9,4.2,1.7,27.5,.542,.603,.367,.590,.731,.621,2018
90,Karl-Anthony Towns,2017-18,22,MIN,NBA,14.0,82,82,35.6,7.8,14.3,6.3,10.8,1.5,3.5,4.2,4.9,2.9,9.4,12.3,2.4,0.8,1.4,1.9,3.5,21.3,.545,.585,.421,.596,.858,.646,2018
104,Anthony Davis,2017-18,24,NOP,NBA,13.7,75,75,36.4,10.4,19.5,9.7,17.3,0.7,2.2,6.6,8.0,2.5,8.6,11.1,2.3,1.5,2.6,2.2,2.1,28.1,.534,.558,.340,.552,.828,.612,2018
161,Damian Lillard,2017-18,27,POR,NBA,12.6,73,73,36.6,8.5,19.4,5.4,10.8,3.1,8.6,6.8,7.4,0.8,3.6,4.5,6.6,1.1,0.4,2.8,1.6,26.9,.439,.501,.361,.519,.916,.594,2018
189,Giannis Antetokounmpo,2017-18,23,MIL,NBA,11.9,75,75,36.7,9.9,18.7,9.3,16.8,0.6,1.9,6.5,8.5,2.1,8.0,10.0,4.8,1.5,1.4,3.0,3.1,26.9,.529,.554,.307,.545,.760,.598,2018
243,LaMarcus Aldridge,2017-18,32,SAS,NBA,10.9,75,75,33.5,9.2,18.0,8.8,16.7,0.4,1.2,4.5,5.3,3.3,5.2,8.5,2.0,0.6,1.2,1.5,2.1,23.1,.510,.526,.293,.520,.837,.570,2018
285,Kevin Durant,2017-18,29,GSW,NBA,10.4,68,68,34.2,9.3,18.0,6.7,11.9,2.5,6.1,5.3,5.9,0.5,6.4,6.8,5.4,0.7,1.8,3.0,2.0,26.4,.516,.565,.419,.586,.889,.640,2018
308,Russell Westbrook,2017-18,29,OKC,NBA,10.1,80,80,36.4,9.5,21.1,8.3,17.0,1.2,4.1,5.2,7.1,1.9,8.2,10.1,10.3,1.8,0.3,4.8,2.5,25.4,.449,.485,.298,.477,.737,.524,2018
326,DeMar DeRozan,2017-18,28,TOR,NBA,9.6,80,80,33.9,8.1,17.7,7.0,14.1,1.1,3.6,5.8,7.0,0.7,3.2,3.9,5.2,1.1,0.3,2.2,1.9,23.0,.456,.494,.310,.488,.825,.555,2018
353,Stephen Curry,2017-18,29,GSW,NBA,9.1,51,51,32.0,8.4,16.9,4.2,7.1,4.2,9.8,5.5,5.9,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4,.495,.595,.423,.618,.921,.675,2018
368,Jimmy Butler,2017-18,28,MIN,NBA,8.9,59,59,36.7,7.4,15.6,6.2,12.2,1.2,3.4,6.2,7.2,1.3,4.0,5.3,4.9,2.0,0.4,1.8,1.3,22.2,.474,.509,.350,.512,.854,.590,2018
369,Paul George,2017-18,27,OKC,NBA,8.9,79,79,36.6,7.3,17.0,4.2,9.3,3.1,7.7,4.3,5.2,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,21.9,.430,.454,.401,.521,.822,.570,2018
397,Victor Oladipo,2017-18,25,IND,NBA,8.2,75,75,34.0,8.5,17.9,6.4,12.1,2.1,5.8,3.9,4.9,0.6,4.6,5.2,4.3,2.4,0.8,2.9,2.3,23.1,.477,.528,.371,.537,.799,.577,2018
450,Joel Embiid,2017-18,23,PHI,NBA,6.2,63,63,30.3,8.1,16.8,7.0,13.4,1.0,3.4,5.7,7.4,2.3,8.7,11.0,3.2,0.6,1.8,3.7,3.3,22.9,.483,.527,.308,.514,.769,.573,2018
56,James Harden,2018-19,29,HOU,NBA,15.2,78,78,36.8,10.8,24.5,6.0,11.3,4.8,13.2,9.7,11.0,0.8,5.8,6.6,7.5,2.0,0.7,5.0,3.1,36.1,.442,.528,.368,.541,.879,.616,2019
75,Giannis Antetokounmpo,2018-19,24,MIL,NBA,14.4,72,72,32.8,10.0,17.3,9.3,14.5,0.7,2.8,6.9,9.5,2.2,10.3,12.5,5.9,1.3,1.5,3.7,3.2,27.7,.578,.641,.256,.599,.729,.644,2019
77,Rudy Gobert,2018-19,26,UTA,NBA,14.4,81,80,31.8,5.9,8.8,5.9,8.8,0.0,0.0,4.1,6.4,3.8,9.0,12.9,2.0,0.8,2.3,1.6,2.9,15.9,.669,.669,,.669,.636,.682,2019
183,Damian Lillard,2018-19,28,POR,NBA,12.1,80,80,35.5,8.5,19.2,5.6,11.1,3.0,8.0,5.9,6.4,0.9,3.8,4.6,6.9,1.1,0.4,2.7,1.9,25.8,.444,.499,.369,.522,.912,.588,2019
190,Paul George,2018-19,28,OKC,NBA,11.9,77,77,36.9,9.2,21.0,5.4,11.1,3.8,9.8,5.9,7.0,1.4,6.8,8.2,4.1,2.2,0.4,2.7,2.8,28.0,.438,.484,.386,.529,.839,.583,2019
194,Nikola Jokić,2018-19,23,DEN,NBA,11.8,80,80,31.3,7.7,15.1,6.7,11.7,1.0,3.4,3.6,4.4,2.9,8.0,10.8,7.3,1.4,0.7,3.1,2.9,20.1,.511,.569,.307,.545,.821,.589,2019
211,Kevin Durant,2018-19,30,GSW,NBA,11.5,78,78,34.6,9.2,17.7,7.5,12.8,1.8,5.0,5.7,6.5,0.4,5.9,6.4,5.9,0.7,1.1,2.9,2.0,26.0,.521,.587,.353,.571,.885,.631,2019
321,Stephen Curry,2018-19,30,GSW,NBA,9.7,69,69,33.8,9.2,19.4,4.0,7.7,5.1,11.7,3.8,4.2,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3,.472,.525,.437,.604,.916,.641,2019
339,Kawhi Leonard,2018-19,27,TOR,NBA,9.5,60,60,34.0,9.3,18.8,7.5,13.8,1.9,5.0,6.1,7.1,1.3,6.0,7.3,3.3,1.8,0.4,2.0,1.5,26.6,.496,.542,.371,.546,.854,.606,2019
355,Kyrie Irving,2018-19,26,BOS,NBA,9.1,67,67,33.0,9.0,18.5,6.4,12.0,2.6,6.5,3.2,3.7,1.1,3.9,5.0,6.9,1.5,0.5,2.6,2.5,23.8,.487,.533,.401,.557,.873,.592,2019
378,Joel Embiid,2018-19,24,PHI,NBA,8.7,64,64,33.7,9.1,18.7,7.8,14.6,1.2,4.1,8.2,10.1,2.5,11.1,13.6,3.7,0.7,1.9,3.5,3.3,27.5,.484,.535,.300,.517,.804,.593,2019
404,Blake Griffin,2018-19,29,DET,NBA,8.0,75,75,35.0,8.3,17.9,5.7,10.9,2.5,7.0,5.5,7.3,1.3,6.2,7.5,5.4,0.7,0.4,3.4,2.7,24.5,.462,.525,.362,.532,.753,.581,2019
430,Kemba Walker,2018-19,28,CHO,NBA,7.4,82,82,34.9,8.9,20.5,5.7,11.6,3.2,8.9,4.6,5.5,0.6,3.8,4.4,5.9,1.2,0.4,2.6,1.6,25.6,.434,.494,.356,.511,.844,.558,2019
434,LeBron James,2018-19,34,LAL,NBA,7.2,55,55,35.2,10.1,19.9,8.1,14.0,2.0,5.9,5.1,7.6,1.0,7.4,8.5,8.3,1.3,0.6,3.6,1.7,27.4,.510,.582,.339,.560,.665,.588,2019
442,Russell Westbrook,2018-19,30,OKC,NBA,6.8,73,73,36.0,8.6,20.2,7.0,14.5,1.6,5.6,4.1,6.2,1.5,9.6,11.1,10.7,1.9,0.5,4.5,3.4,22.9,.428,.481,.290,.468,.656,.501,2019
